bite_year,bite_month,bite_day,species,gender,color
1985,5,5,DOG,FEMALE,LIG. BROWN
1986,2,12,DOG,UNKNOWN,BRO & BLA
1987,5,7,DOG,UNKNOWN,
1988,10,2,DOG,MALE,BLA & BRO
1989,8,29,DOG,FEMALE,BLK-WHT
1989,11,24,DOG,UNKNOWN,
1990,2,8,DOG,FEMALE,BLACK/WHIT
1990,2,22,DOG,MALE,BLK-WHT
1990,8,2,DOG,MALE,BROWN
1990,8,19,DOG,UNKNOWN,BRN-TAN
1990,8,31,DOG,MALE,TRI
1990,10,20,DOG,MALE,BLK
1991,2,9,DOG,MALE,BLK-BRN
1991,7,5,DOG,MALE,BLK-BRN
1991,9,14,DOG,MALE,WHT
1991,10,9,DOG,FEMALE,WHT-BRN
1991,11,7,DOG,UNKNOWN,
1992,2,8,DOG,MALE,BLK
1992,2,27,DOG,MALE,BLK-TAN
1992,3,6,DOG,MALE,WHT
1992,3,18,CAT,UNKNOWN,
1992,4,6,DOG,UNKNOWN,BLK
1992,5,6,DOG,UNKNOWN,BLK
1992,6,4,DOG,MALE,BRN
1992,6,29,DOG,FEMALE,RED
1992,8,6,DOG,UNKNOWN,WHITE
1992,8,26,DOG,MALE,BRN-BLK
1993,4,4,DOG,UNKNOWN,
1993,4,6,CAT,UNKNOWN,
1993,5,12,DOG,MALE,BRN
1993,6,20,DOG,UNKNOWN,
1993,7,9,DOG,FEMALE,BRN
1993,12,4,DOG,UNKNOWN,
1994,3,31,DOG,MALE,BRN-BLK
1994,4,11,DOG,MALE,BLK
1994,5,8,DOG,UNKNOWN,
1994,5,10,DOG,FEMALE,MULT COLOR
1994,5,22,DOG,MALE,TRI
1994,6,10,DOG,UNKNOWN,
1994,7,21,DOG,UNKNOWN,
2009,10,29,CAT,FEMALE,GRAY
2009,12,2,DOG,MALE,TAN-BRN
2009,12,11,DOG,MALE,BLK-BRN
2009,12,21,DOG,UNKNOWN,BLACK
2009,12,24,DOG,MALE,BRN-WHT
2009,12,24,DOG,UNKNOWN,BLACK
2009,12,28,DOG,UNKNOWN,BLACK
2009,12,29,DOG,FEMALE,WHT-BRN
2009,12,30,DOG,MALE,BLK-WHT
2009,12,30,DOG,FEMALE,BLK-WHT
2009,12,30,DOG,FEMALE,WHITE
2009,12,31,CAT,MALE,WHITE
2009,12,31,DOG,MALE,WHT-GRAY
2009,12,31,DOG,MALE,BRN
2010,1,1,DOG,FEMALE,WHT
2010,1,2,CAT,FEMALE,
2010,1,2,DOG,UNKNOWN,BLK
2010,1,2,DOG,UNKNOWN,
2010,1,2,DOG,MALE,BLK-BRN
2010,1,2,DOG,FEMALE,BRN-WHT
2010,1,3,CAT,UNKNOWN,BLK-WHT
2010,1,4,DOG,FEMALE,BLK
2010,1,4,DOG,MALE,TAN
2010,1,5,DOG,MALE,BLK-TAN
2010,1,5,DOG,FEMALE,BRN
2010,1,6,DOG,UNKNOWN,BLUE
2010,1,7,DOG,MALE,BLK
2010,1,7,DOG,FEMALE,TAN
2010,1,7,DOG,MALE,COPPER-WHT
2010,1,8,DOG,FEMALE,WHT-BUFF
2010,1,8,DOG,MALE,BLK-WHT
2010,1,9,CAT,UNKNOWN,
2010,1,9,CAT,UNKNOWN,BLK
2010,1,9,DOG,UNKNOWN,BLK-WHT
2010,1,10,DOG,UNKNOWN,WHT
2010,1,11,DOG,MALE,BLK-WHT
2010,1,11,DOG,FEMALE,BRINDLE
2010,1,11,DOG,MALE,BRN
2010,1,12,CAT,UNKNOWN,BLK-WHT
2010,1,12,DOG,MALE,BRN-WHT
2010,1,12,DOG,MALE,BLK
2010,1,12,DOG,MALE,TRI
2010,1,14,DOG,MALE,YELLOW
2010,1,14,DOG,UNKNOWN,TAN
2010,1,15,DOG,MALE,BLACK/BROW
2010,1,16,DOG,MALE,BLUE
2010,1,16,DOG,MALE,TRI
2010,1,16,CAT,FEMALE,BLK-WHT
2010,1,17,CAT,MALE,BROWN
2010,1,19,DOG,MALE,BLK
2010,1,20,DOG,MALE,BLK
2010,1,21,DOG,FEMALE,BRN
2010,1,22,CAT,MALE,BLK-WHT
2010,1,23,DOG,UNKNOWN,YELLOW
2010,1,24,DOG,MALE,RED
2010,1,25,DOG,FEMALE,FAWN-WHT
2010,1,25,CAT,FEMALE,GRAY-TORTI
2010,1,25,DOG,FEMALE,BRN-WHT
2010,1,26,DOG,MALE,BROWN-BLK
2010,1,27,DOG,MALE,BLACK